userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	size
1	3283	PPARG	5.61753715710516	13.6022777564373	24	1	80	1324	1324	468	2	180	205	PPARG Simpson Golabi Behmel Syndrome adipocytes PPARG	Simpson Golabi Behmel Syndrome adipocytes	NULL	PPARG	NULL	GTRD	EXP000907_Simpson-Golabi-Behmel-Syndrome-adipocytes_PPARG_MACS_PPARG_MA0065.2.damo.pwm.bed	5143
1	3290	PPARG	3.6883658455038	3.65423237056309	32	2	96	825	825	308	10	172	197	PPARG subcutaneous white adipose tissue PPARG	subcutaneous white adipose tissue	NULL	PPARG		GTRD	EXP034425_subcutaneous-white-adipose-tissue_PPARG_MACS_PPARG_MA0065.2.damo.pwm.bed	9105
1	3284	PPARG	3.45226672947399	2.10661765612103	82	3	182	13	182	66	50	122	157	PPARG hMADS-3 (adipose-derived stem cells) PPARG	hMADS-3 (adipose-derived stem cells)	NULL	PPARG	differentiaiton inductors	GTRD	EXP033780_hMADS-3--adipose-derived-stem-cells-_PPARG_MACS_PPARG_MA0065.2.damo.pwm.bed	60933
1	3291	PPARG	3.04974795504182	3.25568082158781	29	4	102	1013	1013	373	10	175	197	PPARG subcutaneous white adipose tissue PPARG	subcutaneous white adipose tissue	NULL	PPARG		GTRD	EXP034426_subcutaneous-white-adipose-tissue_PPARG_MACS_PPARG_MA0065.2.damo.pwm.bed	6490
1	3285	PPARG	2.89746782250176	1.97592099022798	75	5	281	28	281	105	47	129	160	PPARG hMADS-3 (adipose-derived stem cells) PPARG	hMADS-3 (adipose-derived stem cells)	NULL	PPARG	differentiaiton inductors	GTRD	EXP033781_hMADS-3--adipose-derived-stem-cells-_PPARG_MACS_PPARG_MA0065.2.damo.pwm.bed	63954
1	3297	PPARG	2.78488958286292	2.36069162909335	43	6	165	429	429	200	21	161	186	PPARG hASC (preadipocytes) PPARG	hASC (preadipocytes)	NULL	PPARG		GEO	GSE21366_pparg_asc_MACS_PPARG_MA0066.1.damo.pwm.bed	16549
1	348	CEBPA	2.77732683490231	Inf	9	7	1	2564	2564	857	0	195	207	CEBPA SGBS (Simpson Golabi Behmel syndrome type 1 adipocytes) CEBPA	SGBS (Simpson Golabi Behmel syndrome type 1 adipocytes)	NULL	CEBPA		GEO	GSE41629_cebpa_sgbs_MACS_CEBPA_MA0102.4.damo.pwm.bed	8140
1	337	CEBPA	2.65946489852919	2.79497429548365	30	8	133	937	937	359	12	174	195	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 100 nM 1,25(OH)2D3 for 2 hrs	GTRD	EXP053362_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	42883
1	336	CEBPA	2.47280949159416	2.68660714175898	29	9	137	1013	1013	386	12	175	195	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 100 nM 1,25(OH)2D3 for 2 hrs	GTRD	EXP053362_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0019.1.damo.pwm.bed	42489
1	310	CEBPA	2.29682311403975	2.15629279349271	40	10	178	502	502	230	21	164	186	CEBPA mesenchymal stem cells-derived adipocytes CEBPA	mesenchymal stem cells-derived adipocytes	NULL	CEBPA	NULL	GTRD	EXP000565_mesenchymal-stem-cells-derived-adipocytes_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	24225
1	309	CEBPA	2.25580462895444	2.11137028162776	41	11	181	476	476	223	22	163	185	CEBPA mesenchymal stem cells-derived adipocytes CEBPA	mesenchymal stem cells-derived adipocytes	NULL	CEBPA	NULL	GTRD	EXP000565_mesenchymal-stem-cells-derived-adipocytes_CEBPA_MACS_CEBPA_MA0019.1.damo.pwm.bed	24151
1	251	ATF3	2.11589803905187	2.17052578555925	35	12	177	691	691	293	18	169	189	ATF3 liver ATF3	liver	BTO:0000759	ATF3		ENCODE	ENCSR480LIS_liver_ATF3_MACS_ATF3_MA0605.2.damo.pwm.bed	24651
1	345	CEBPA	2.05246144526302	2.21671556240956	32	13	176	825	825	338	16	172	191	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 100 nM 1,25(OH)2D3 for 24 hrs	GTRD	EXP053366_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	51032
1	331	CEBPA	1.92192871522171	1.85837633782792	46	14	302	349	349	222	28	158	179	CEBPA MOLM-13(acute monocytic leukemia(AML), Homo sapiens) CEBPA	MOLM-13(acute monocytic leukemia(AML), Homo sapiens)	BTO:0004175	CEBPA		GTRD	EXP053322_MOLM-13-acute-monocytic-leukemia-AML---Homo-sapiens-_CEBPA_MACS_CEBPA_MA0019.1.damo.pwm.bed	79312
1	333	CEBPA	1.84713752140628	1.72216500344996	57	15	337	174	337	175	38	147	169	CEBPA U937 (adult acute monocytic leukemia) CEBPA	U937 (adult acute monocytic leukemia)	BTO:0001412	CEBPA		GTRD	EXP053324_U937--adult-acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	103731
1	2006	GATA3	1.84157288821553	Inf	6	16	1	2948	2948	988	0	198	207	GATA3 CD4 GATA3	CD4	NA	GATA3	TH2	GEO	GSE72266_gata3_cd4-th2_MACS_GATA3_MA0037.3.damo.pwm.bed	4444
1	3715	SRF	1.84157288821553	Inf	6	16	1	2948	2948	988	0	198	207	SRF HEL (Erythro Leukemia) SRF	HEL (Erythro Leukemia)	NULL	SRF	Treatment: Treated with 10ng/ml Dox for 24 hours Source: HEL-iMKL1 cells	GTRD	EXP053074_HEL--Erythro-Leukemia-_SRF_MACS_SRF_MA0083.3.damo.pwm.bed	2934
1	3292	PPARG	1.81220084528225	2.02290012358609	33	18	278	778	778	358	18	171	189	PPARG subcutaneous white adipose tissue PPARG	subcutaneous white adipose tissue	NULL	PPARG		GTRD	EXP034433_subcutaneous-white-adipose-tissue_PPARG_MACS_PPARG_MA0065.2.damo.pwm.bed	12068
1	1989	GATA3	1.77379482278816	5.26510679879406	10	19	84	2442	2442	848	2	194	205	GATA3 MCF7 (Invasive ductal breast carcinoma) GATA3	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	GATA3	E2	GEO	GSE29073_gata3_mcf7-e2_MACS_GATA3_MA0037.3.damo.pwm.bed	17757
1	3438	RFX1	1.77322817331966	3.19793226802957	15	20	103	1993	1993	705	5	189	202	RFX1 MCF7 (Invasive ductal breast carcinoma) RFX1	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	RFX1	NA	GTRD	EXP039737_MCF7--Invasive-ductal-breast-carcinoma-_RFX1_MACS_RFX1_MA0509.2.damo.pwm.bed	11335
1	1978	GATA3	1.75592655964076	8.37486975127373	8	21	81	2697	2697	933	1	196	206	GATA3 T47D (invasive ductal carcinoma) GATA3	T47D (invasive ductal carcinoma)	BTO:0001248	GATA3	Passsage: <10	GTRD	EXP049896_T47D--invasive-ductal-carcinoma-_GATA3_MACS_GATA3_MA0037.3.damo.pwm.bed	13101
1	338	CEBPA	1.74346125521168	2.05465208078049	30	22	212	937	937	390	16	174	191	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 0.1 % EtOH for 8 hrs	GTRD	EXP053363_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0019.1.damo.pwm.bed	40326
1	339	CEBPA	1.74346125521168	2.05465208078049	30	22	212	937	937	390	16	174	191	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 0.1 % EtOH for 8 hrs	GTRD	EXP053363_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	41763
1	3289	PPARG	1.73261049340515	1.82845614589949	41	24	305	476	476	268	25	163	182	PPARG subcutaneous white adipose tissue PPARG	subcutaneous white adipose tissue	NULL	PPARG		GTRD	EXP034424_subcutaneous-white-adipose-tissue_PPARG_MACS_PPARG_MA0065.2.damo.pwm.bed	13671
1	1287	ESR1	1.72908044206869	2.37647052800038	22	25	164	1459	1459	549	10	182	197	ESR1 MCF7 TamR (invasive ductal breast carcinoma Tamoxifen resistant) ESR1	MCF7 TamR (invasive ductal breast carcinoma Tamoxifen resistant)	NULL	ESR1	Tam-Resist	GTRD	EXP038790_MCF7-TamR--invasive-ductal-breast-carcinoma-Tamoxifen-resistant-_ESR1_MACS_ESR1_MA0112.3.damo.pwm.bed	36346
1	3800	TCF4	1.6995232948606	1.60299924016577	69	26	376	47	376	150	50	135	157	TCF4 TMD8 (diffuse large B-cell lymphoma) TCF4	TMD8 (diffuse large B-cell lymphoma)	NULL	TCF4	Treatment: 60ng/ml  Tetracyclin for 24 hrs; Genotype: inducible TCF4 expression;	GTRD	EXP058278_TMD8--diffuse-large-B-cell-lymphoma-_TCF4_MACS_TCF4_MA0830.2.damo.pwm.bed	229894
1	340	CEBPA	1.66788871679347	1.95032095313982	32	27	284	825	825	379	18	172	189	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 100 nM 1,25(OH)2D3 for 8 hrs	GTRD	EXP053364_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0019.1.damo.pwm.bed	48052
1	341	CEBPA	1.63452271162131	1.90651316114644	33	28	289	778	778	365	19	171	188	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 100 nM 1,25(OH)2D3 for 8 hrs	GTRD	EXP053364_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	48915
1	2123	HNF4A	1.62516656108769	1.65199643881828	54	29	360	225	360	205	37	150	170	HNF4A liver HNF4A	liver	BTO:0000759	HNF4A		Array Express	ERP002306_hnf4a_liver_MACS_HNF4A_MA0114.4.damo.pwm.bed	43415
1	3293	PPARG	1.60409489824113	1.69739057913624	47	30	352	333	352	238	31	157	176	PPARG subcutaneous white adipose tissue PPARG	subcutaneous white adipose tissue	NULL	PPARG		GTRD	EXP034435_subcutaneous-white-adipose-tissue_PPARG_MACS_PPARG_MA0065.2.damo.pwm.bed	14391
1	3088	NR3C1	1.59982338255453	1.57515407442748	67	31	381	68	381	160	49	137	158	NR3C1 A549 (lung carcinoma) NR3C1	A549 (lung carcinoma)	BTO:0000018	NR3C1	1 h with 100 nM Dexamethasone (Myers)	ENCODE	ENCSR000BJR_A549_NR3C1_MACS_NR3C1_MA0113.3.damo.pwm.bed	44340
1	3005	NFE2L2	1.57338200626749	2.96946679160695	14	32	130	2073	2073	745	5	190	202	NFE2L2 A375 (malignant melanoma) NFE2L2	A375 (malignant melanoma)	BTO:0002806	NFE2L2	A771726	GEO	GSE57431_NFE2L2_a375-a771726_MACS_NFE2L2_MA0150.2.damo.pwm.bed	3322
1	369	CEBPB	1.54843145635937	1.79935917827269	36	33	318	645	645	332	22	168	185	CEBPB monocyte-derived macrophages CEBPB	monocyte-derived macrophages	NULL	CEBPB	IFN-gamma	GTRD	EXP038588_monocyte-derived-macrophages_CEBPB_MACS_CEBPB_MA0466.2.damo.pwm.bed	38296
1	120	AR	1.53189993104804	Inf	5	34	1	3053	3053	1030	0	199	207	AR primary prostate cancer AR	primary prostate cancer	NULL	AR	Treatment:  2 mM DSG for 25 mins	GTRD	EXP053242_primary-prostate-cancer_AR_MACS_AR_MA0007.3.damo.pwm.bed	1324
1	4039	TP63	1.51650484557685	2.40232118272295	18	35	163	1785	1785	661	8	186	199	TP63 MCF10A (breast epithelial cells) TP63	MCF10A (breast epithelial cells)	BTO:0001939	TP63	Treatment: DMSO for 6 hrs;	GTRD	EXP057961_MCF10A--breast-epithelial-cells-_TP63_MACS_TP63_MA0525.2.damo.pwm.bed	26768
