Splicing factor;Binding sites;Conditional-binding sites;No-binding sites
9G8;70;1;29
CUG-BP1;42;3;32
DAZAP1;12;0;3
ESRP1;1;0;1
ESRP2;1;0;1
ETR-3;31;4;36
FMRP;43;4;4
Fox-1;12;0;2
Fox-2;13;0;3
hnRNP A0;1;0;0
hnRNP A1;143;17;39
hnRNP A2/B1;42;1;8
hnRNP A3;2;0;1
hnRNP C;21;7;13
hnRNP C1;11;2;19
hnRNP C2;10;0;16
hnRNP D;29;2;14
hnRNP D0;1;0;0
hnRNP DL;34;0;0
hnRNP E1;43;17;14
hnRNP E2;39;13;23
hnRNP F;67;8;26
hnRNP G;1;0;0
hnRNP H1;85;8;45
hnRNP H2;101;8;42
hnRNP H3;60;8;44
hnRNP I (PTB);129;13;53
hnRNP J;1;0;12
hnRNP K;58;15;13
hnRNP L;172;4;9
hnRNP LL;13;0;2
hnRNP M;1;0;3
hnRNP P (TLS);16;4;8
hnRNP Q;10;0;7
hnRNP U;19;3;0
HTra2?;7;0;3
HTra2?1;20;1;14
HuB;44;0;1
HuC;2;0;2
HuD;51;6;5
HuR;72;25;26
KSRP;22;2;7
MBNL1;92;11;34
Nova-1;25;4;18
Nova-2;12;4;9
nPTB;3;0;1
PSF;32;0;7
QKI;1;0;0
RBM25;1;0;1
RBM4;8;0;2
RBM5;7;0;2
Sam68;16;0;5
SAP155;1;0;0
SC35;172;5;47
SF1;24;1;5
SF2/ASF;248;15;52
SLM-1;1;0;0
SLM-2;6;0;0
SRm160;1;0;0
SRp20;74;0;23
SRp30c;25;9;6
SRp38;10;0;0
SRp40;68;7;27
SRp54;1;0;0
SRp55;64;7;24
SRp75;8;0;18
TDP43;22;1;8
TIA-1;39;2;7
TIAL1;37;2;2
YB-1;21;1;14
ZRANB2;19;0;4
Total;2590;245;896
