"ID" "setSize" "enrichmentScore" "NES" "pvalue" "p.adjust" "qvalue" "core_enrichment" "rank"
"GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL" "GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL" 21 -0.553773359299526 -1.69316423253794 0.0068947775754737 0.973632175887819 0.973632175887819 "USP25/SHARPIN/NSMCE4A/SIRT7/TRPC4AP/USP24/SH3RF3/PDZRN3/MSL2" 73
"GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS" "GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS" 11 -0.650576871662684 -1.66374614402085 0.0093565223492054 0.973632175887819 0.973632175887819 "ACSL1/FMO1/CHST11/LYRM4/MTHFR/HS2ST1" 85
"GOMF_MOLECULAR_ADAPTOR_ACTIVITY" "GOMF_MOLECULAR_ADAPTOR_ACTIVITY" 11 -0.648572202046672 -1.6586195225731 0.0101881986350741 0.973632175887819 0.973632175887819 "VAMP8/EPB41L3/SYNE3/BRD4/TRPC4AP/NDC1" 87
"GOMF_PROTEIN_MACROMOLECULE_ADAPTOR_ACTIVITY" "GOMF_PROTEIN_MACROMOLECULE_ADAPTOR_ACTIVITY" 11 -0.648572202046672 -1.6586195225731 0.0101881986350741 0.973632175887819 0.973632175887819 "VAMP8/EPB41L3/SYNE3/BRD4/TRPC4AP/NDC1" 87
"GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING" "GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING" 24 0.499437871471804 1.60979553033741 0.0107941482914392 0.973632175887819 0.973632175887819 "DEAF1/HOXB4/HOXB5/SMAD3/STK3/HINFP/SH3PXD2A/RTN4/CITED1" 66
"GOBP_CHROMOSOME_ORGANIZATION" "GOBP_CHROMOSOME_ORGANIZATION" 10 -0.66316083818799 -1.65799650184621 0.0190784186535532 1 1 "NSMCE4A/TNKS1BP1/SIRT7/CLASP2/PHF13/NDC1" 63
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION" "GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION" 10 0.638511847279671 1.61740499981742 0.0253710733734948 1 1 "PECAM1/SMAD3/MYO1C/RTN4/PPARG" 62
"GOMF_CELL_ADHESION_MOLECULE_BINDING" "GOMF_CELL_ADHESION_MOLECULE_BINDING" 15 -0.577285618220407 -1.6134678498233 0.0245685269410765 1 1 "COBLL1/PI4KA/PTPN1/TNKS1BP1/FGF1/FMNL2" 74
"GOMF_KINASE_BINDING" "GOMF_KINASE_BINDING" 17 0.540811057680809 1.60796739250708 0.0163857933866575 1 1 "PRKRIP1/INKA1/SMAD3/STAU2/TTC28/GOLGA2" 65
"GOBP_CALCIUM_ION_TRANSPORT" "GOBP_CALCIUM_ION_TRANSPORT" 10 -0.637332416506751 -1.59342177075576 0.0300694679338976 1 1 "PLCD1/CACNA2D1/ATP1A2/BIN1/TRPC4AP/CASQ2" 127
"GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS" "GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS" 10 -0.635112951499321 -1.58787279227817 0.0328280605797659 1 1 "SIAH1/FBXW8/TBL1X/FBXO31/USP25/SHARPIN/TRPC4AP/SH3RF3" 73
"GOBP_CELL_JUNCTION_ASSEMBLY" "GOBP_CELL_JUNCTION_ASSEMBLY" 14 0.55239575046641 1.56991286642201 0.0298236570074009 1 1 "PECAM1/SMAD3/MYO1C/STAU2/MPDZ/RAPGEF2/LIMCH1/WNT5A" 97
